date,perturbation,model,mean_1m_temp_degC,mean_0_5m_temp_degC
2022-08-20,0,1,16.122864,13.3585205
2022-08-20,1,1,16.010784,13.380799
2022-08-20,2,1,15.888911,13.395206
2022-08-20,3,1,16.073559,13.385997
2022-08-20,4,1,16.042973,13.385057
2022-08-20,5,1,16.203608,13.3373785
2022-08-20,6,1,15.944116,13.371111
2022-08-20,7,1,16.269146,13.343724
2022-08-20,8,1,16.047705,13.367476
2022-08-20,9,1,16.313608,13.232025
2022-08-20,10,1,15.877586,13.366076
2022-08-20,11,1,16.06604,13.30257
2022-08-20,12,1,16.020767,13.334964
2022-08-20,13,1,16.037384,13.384656
2022-08-20,14,1,15.846642,13.287631
2022-08-20,15,1,16.025724,13.424205
2022-08-20,16,1,16.138994,13.357904
2022-08-20,17,1,16.393799,13.240352
2022-08-20,18,1,15.988502,13.39011
2022-08-20,19,1,16.163399,13.346018
2022-08-20,20,1,16.236628,13.40248
2022-08-20,21,1,15.924543,13.382407
2022-08-20,22,1,15.977592,13.276178
2022-08-20,23,1,15.961608,13.349208
2022-08-20,24,1,16.273058,13.348522
2022-08-20,25,1,16.249094,13.414233
2022-08-20,26,1,16.05358,13.400492
2022-08-20,27,1,16.059483,13.369821
2022-08-20,28,1,16.259695,13.37552
2022-08-20,29,1,15.878353,13.399232
2022-08-20,30,1,16.37962,13.258577
2022-08-20,0,2,15.786702,13.181937
2022-08-20,1,2,15.724964,13.260671
2022-08-20,2,2,15.697877,13.372452
2022-08-20,3,2,15.779235,13.266362
2022-08-20,4,2,15.75091,13.26384
2022-08-20,5,2,15.755642,13.029979
2022-08-20,6,2,15.684871,13.268575
2022-08-20,7,2,15.806547,12.976485
2022-08-20,8,2,15.718924,13.195055
2022-08-20,9,2,15.59286,12.636093
2022-08-20,10,2,15.6140995,13.247919
2022-08-20,11,2,15.576251,12.950091
2022-08-20,12,2,15.658708,13.10362
2022-08-20,13,2,15.744649,13.261772
2022-08-20,14,2,15.469906,13.074159
2022-08-20,15,2,15.810126,13.396727
2022-08-20,16,2,15.774826,13.150523
2022-08-20,17,2,15.635766,12.560628
2022-08-20,18,2,15.731908,13.306028
2022-08-20,19,2,15.751192,13.079707
2022-08-20,20,2,15.936506,13.304567
2022-08-20,21,2,15.682328,13.303171
2022-08-20,22,2,15.491436,12.952528
2022-08-20,23,2,15.63082,13.154412
2022-08-20,24,2,15.842951,13.02284
2022-08-20,25,2,15.967982,13.344494
2022-08-20,26,2,15.83236,13.370724
2022-08-20,27,2,15.691708,13.154909
2022-08-20,28,2,15.853167,13.142987
2022-08-20,29,2,15.68427,13.37141
2022-08-20,30,2,15.662752,12.609451
2022-08-20,0,3,16.001003,13.38892
2022-08-20,1,3,15.884542,13.356237
2022-08-20,2,3,15.769967,13.334577
2022-08-20,3,3,15.959015,13.390655
2022-08-20,4,3,15.922427,13.37383
2022-08-20,5,3,16.094717,13.404209
2022-08-20,6,3,15.810164,13.325036
2022-08-20,7,3,16.204283,13.443427
2022-08-20,8,3,15.913655,13.353421
2022-08-20,9,3,16.190794,13.383038
2022-08-20,10,3,15.701861,13.26607
2022-08-20,11,3,15.856166,13.271872
2022-08-20,12,3,15.863566,13.308846
2022-08-20,13,3,15.915363,13.370204
2022-08-20,14,3,15.504422,13.122763
2022-08-20,15,3,15.948421,13.428899
2022-08-20,16,3,16.011986,13.386389
2022-08-20,17,3,16.338295,13.437932
2022-08-20,18,3,15.868223,13.359873
2022-08-20,19,3,16.042599,13.388132
2022-08-20,20,3,16.116653,13.463225
2022-08-20,21,3,15.793696,13.326075
2022-08-20,22,3,15.670404,13.179059
2022-08-20,23,3,15.791672,13.286275
2022-08-20,24,3,16.211195,13.455844
2022-08-20,25,3,16.140564,13.486059
2022-08-20,26,3,15.960035,13.416032
2022-08-20,27,3,15.916254,13.345077
2022-08-20,28,3,16.120707,13.429215
2022-08-20,29,3,15.757498,13.329952
2022-08-20,30,3,16.332317,13.442646
2022-08-20,0,4,15.792002,13.158471
2022-08-20,1,4,15.701407,13.18209
2022-08-20,2,4,15.626924,13.2248745
2022-08-20,3,4,15.772081,13.198205
2022-08-20,4,4,15.737124,13.19079
2022-08-20,5,4,15.807227,13.090845
2022-08-20,6,4,15.635717,13.171442
2022-08-20,7,4,15.894639,13.082501
2022-08-20,8,4,15.712005,13.152481
2022-08-20,9,4,15.6668415,12.855338
2022-08-20,10,4,15.552613,13.146833
2022-08-20,11,4,15.581617,13.00313
2022-08-20,12,4,15.645505,13.093368
2022-08-20,13,4,15.729952,13.188554
2022-08-20,14,4,15.321968,12.974082
2022-08-20,15,4,15.788898,13.27793
2022-08-20,16,4,15.792968,13.145103
2022-08-20,17,4,15.774722,12.852671
2022-08-20,18,4,15.697639,13.203204
2022-08-20,19,4,15.7862215,13.110638
2022-08-20,20,4,15.967256,13.252846
2022-08-20,21,4,15.628242,13.187855
2022-08-20,22,4,15.410312,12.940969
2022-08-20,23,4,15.601714,13.111125
2022-08-20,24,4,15.921575,13.10824
2022-08-20,25,4,15.998113,13.277978
2022-08-20,26,4,15.801027,13.25151
2022-08-20,27,4,15.70213,13.134291
2022-08-20,28,4,15.915577,13.167925
2022-08-20,29,4,15.615527,13.225505
2022-08-20,30,4,15.80572,12.886295
2022-08-20,0,5,16.08534,13.419648
2022-08-20,1,5,15.961597,13.485834
2022-08-20,2,5,15.793718,13.538549
2022-08-20,3,5,16.012297,13.468267
2022-08-20,4,5,15.988817,13.479129
2022-08-20,5,5,16.221329,13.365989
2022-08-20,6,5,15.894561,13.496585
2022-08-20,7,5,16.32208,13.315446
2022-08-20,8,5,16.024284,13.460367
2022-08-20,9,5,16.36871,13.250618
2022-08-20,10,5,15.851255,13.51778
2022-08-20,11,5,16.081852,13.369701
2022-08-20,12,5,16.036938,13.434969
2022-08-20,13,5,15.985425,13.480984
2022-08-20,14,5,15.835356,13.475352
2022-08-20,15,5,15.903231,13.5235405
2022-08-20,16,5,16.119162,13.416506
2022-08-20,17,5,16.52487,13.267476
2022-08-20,18,5,15.920938,13.502325
2022-08-20,19,5,16.176687,13.398689
2022-08-20,20,5,16.15792,13.431606
2022-08-20,21,5,15.865165,13.516316
2022-08-20,22,5,15.968253,13.392916
2022-08-20,23,5,15.967477,13.472358
2022-08-20,24,5,16.318512,13.331951
2022-08-20,25,5,16.183155,13.44651
2022-08-20,26,5,15.937622,13.483866
2022-08-20,27,5,16.063204,13.464383
2022-08-20,28,5,16.23596,13.396278
2022-08-20,29,5,15.786119,13.548264
2022-08-20,30,5,16.51383,13.275434
2022-08-20,0,6,15.853158,13.220301
2022-08-20,1,6,15.704058,13.163785
2022-08-20,2,6,15.576595,13.122568
2022-08-20,3,6,15.777322,13.1941595
2022-08-20,4,6,15.738789,13.177955
2022-08-20,5,6,15.926952,13.23674
2022-08-20,6,6,15.640279,13.139655
2022-08-20,7,6,16.044521,13.282032
2022-08-20,8,6,15.746324,13.175882
2022-08-20,9,6,16.036016,13.27325
2022-08-20,10,6,15.555144,13.102569
2022-08-20,11,6,15.732192,13.150768
2022-08-20,12,6,15.730766,13.163916
2022-08-20,13,6,15.731446,13.174718
2022-08-20,14,6,15.4829,13.062793
2022-08-20,15,6,15.716139,13.180822
2022-08-20,16,6,15.860737,13.219906
2022-08-20,17,6,16.147903,13.340061
2022-08-20,18,6,15.6788,13.157057
2022-08-20,19,6,15.881975,13.222407
2022-08-20,20,6,15.972701,13.277421
2022-08-20,21,6,15.609942,13.129246
2022-08-20,22,6,15.608524,13.102348
2022-08-20,23,6,15.651638,13.134586
2022-08-20,24,6,16.057573,13.291702
2022-08-20,25,6,15.986781,13.286281
2022-08-20,26,6,15.772076,13.201809
2022-08-20,27,6,15.738902,13.167752
2022-08-20,28,6,15.979131,13.265587
2022-08-20,29,6,15.557278,13.114304
2022-08-20,30,6,16.146559,13.339438
2022-08-20,0,7,15.796824,12.969105
2022-08-20,1,7,15.712052,13.029056
2022-08-20,2,7,15.660251,13.125865
2022-08-20,3,7,15.776619,13.033207
2022-08-20,4,7,15.743405,13.031109
2022-08-20,5,7,15.790032,12.848687
2022-08-20,6,7,15.659439,13.036822
2022-08-20,7,7,15.86228,12.806004
2022-08-20,8,7,15.7164345,12.977811
2022-08-20,9,7,15.65265,12.535165
2022-08-20,10,7,15.579053,13.020342
2022-08-20,11,7,15.587753,12.787099
2022-08-20,12,7,15.65658,12.90836
2022-08-20,13,7,15.736366,13.0294485
2022-08-20,14,7,15.428494,12.888946
2022-08-20,15,7,15.801029,13.154683
2022-08-20,16,7,15.790225,12.943546
2022-08-20,17,7,15.718685,12.471616
2022-08-20,18,7,15.712332,13.064482
2022-08-20,19,7,15.775541,12.887703
2022-08-20,20,7,15.958911,13.062679
2022-08-20,21,7,15.651783,13.063087
2022-08-20,22,7,15.480794,12.791473
2022-08-20,23,7,15.615976,12.947142
2022-08-20,24,7,15.895714,12.843176
2022-08-20,25,7,15.989914,13.093673
2022-08-20,26,7,15.818893,13.116137
2022-08-20,27,7,15.694807,12.94454
2022-08-20,28,7,15.890659,12.935028
2022-08-20,29,7,15.646973,13.12808
2022-08-20,30,7,15.747494,12.512785
2022-08-20,0,8,15.690865,13.170821
2022-08-20,1,8,15.622319,13.181781
2022-08-20,2,8,15.580118,13.220517
2022-08-20,3,8,15.684397,13.198196
2022-08-20,4,8,15.653279,13.1896305
2022-08-20,5,8,15.676007,13.106768
2022-08-20,6,8,15.569038,13.174799
2022-08-20,7,8,15.741833,13.100611
2022-08-20,8,8,15.620682,13.156524
2022-08-20,9,8,15.510324,12.897151
2022-08-20,10,8,15.492557,13.148209
2022-08-20,11,8,15.4764,13.030407
2022-08-20,12,8,15.550841,13.108571
2022-08-20,13,8,15.646605,13.187183
2022-08-20,14,8,15.323559,13.049445
2022-08-20,15,8,15.723563,13.265409
2022-08-20,16,8,15.684768,13.155741
2022-08-20,17,8,15.570712,12.866337
2022-08-20,18,8,15.626557,13.199983
2022-08-20,19,8,15.666237,13.123594
2022-08-20,20,8,15.860311,13.253865
2022-08-20,21,8,15.566982,13.186153
2022-08-20,22,8,15.369042,13.009979
2022-08-20,23,8,15.519578,13.118899
2022-08-20,24,8,15.774646,13.127611
2022-08-20,25,8,15.89352,13.276571
2022-08-20,26,8,15.729348,13.250831
2022-08-20,27,8,15.602176,13.133682
2022-08-20,28,8,15.78599,13.172506
2022-08-20,29,8,15.569099,13.219452
2022-08-20,30,8,15.603276,12.897787
2022-08-21,0,1,16.29876,13.156351
2022-08-21,1,1,16.124868,13.249838
2022-08-21,2,1,16.101091,13.226685
2022-08-21,3,1,16.21962,13.286171
2022-08-21,4,1,16.161346,13.164521
2022-08-21,5,1,16.163399,13.232901
2022-08-21,6,1,16.082796,13.097378
2022-08-21,7,1,16.12869,13.204177
2022-08-21,8,1,16.08503,13.224903
2022-08-21,9,1,16.393679,13.173349
2022-08-21,10,1,16.475769,13.129365
2022-08-21,11,1,16.1748,13.210345
2022-08-21,12,1,16.384155,13.185306
2022-08-21,13,1,16.222204,13.205869
2022-08-21,14,1,16.142235,13.141549
2022-08-21,15,1,15.870332,13.361501
2022-08-21,16,1,16.221235,13.200602
2022-08-21,17,1,16.01016,13.24979
2022-08-21,18,1,16.227715,13.201841
2022-08-21,19,1,16.084538,13.320898
2022-08-21,20,1,16.186792,13.30231
2022-08-21,21,1,16.054201,13.231074
2022-08-21,22,1,16.15035,13.181635
2022-08-21,23,1,16.173912,13.214221
2022-08-21,24,1,16.274921,13.225188
2022-08-21,25,1,16.17194,13.255359
2022-08-21,26,1,16.466656,13.134359
2022-08-21,27,1,16.045666,13.23453
2022-08-21,28,1,16.359848,13.264492
2022-08-21,29,1,16.094643,13.23065
2022-08-21,30,1,16.175472,13.2499485
2022-08-21,0,2,15.520776,12.43118
2022-08-21,1,2,15.704134,12.904703
2022-08-21,2,2,15.6654415,12.876729
2022-08-21,3,2,15.863788,12.946457
2022-08-21,4,2,15.527799,12.628638
2022-08-21,5,2,15.602244,12.720525
2022-08-21,6,2,15.435788,12.562033
2022-08-21,7,2,15.580279,12.705532
2022-08-21,8,2,15.614759,12.852474
2022-08-21,9,2,15.458212,12.257324
2022-08-21,10,2,15.497445,12.170907
2022-08-21,11,2,15.582123,12.661936
2022-08-21,12,2,15.570948,12.368244
2022-08-21,13,2,15.594326,12.620449
2022-08-21,14,2,15.485227,12.611748
2022-08-21,15,2,15.5765705,13.077139
2022-08-21,16,2,15.601099,12.608155
2022-08-21,17,2,15.453436,12.797656
2022-08-21,18,2,15.595197,12.614285
2022-08-21,19,2,15.695682,13.026329
2022-08-21,20,2,15.890924,13.031136
2022-08-21,21,2,15.629536,12.933375
2022-08-21,22,2,15.515134,12.642675
2022-08-21,23,2,15.629486,12.708827
2022-08-21,24,2,15.597147,12.546795
2022-08-21,25,2,15.7343855,12.844753
2022-08-21,26,2,15.498645,12.193748
2022-08-21,27,2,15.581318,12.89545
2022-08-21,28,2,15.740611,12.570569
2022-08-21,29,2,15.714768,12.93501
2022-08-21,30,2,15.591273,12.715992
2022-08-21,0,3,15.922161,13.270916
2022-08-21,1,3,15.995647,13.427977
2022-08-21,2,3,15.894781,13.3584
2022-08-21,3,3,16.287094,13.600391
2022-08-21,4,3,15.74843,13.228617
2022-08-21,5,3,15.958485,13.376345
2022-08-21,6,3,15.584734,13.125979
2022-08-21,7,3,15.870624,13.337622
2022-08-21,8,3,15.81423,13.321078
2022-08-21,9,3,16.131737,13.361766
2022-08-21,10,3,16.181326,13.32585
2022-08-21,11,3,15.990004,13.375315
2022-08-21,12,3,16.175802,13.383995
2022-08-21,13,3,15.973684,13.343421
2022-08-21,14,3,15.733893,13.205894
2022-08-21,15,3,15.481607,13.208866
2022-08-21,16,3,15.996453,13.3633175
2022-08-21,17,3,15.672215,13.278983
2022-08-21,18,3,15.975587,13.339229
2022-08-21,19,3,15.867758,13.409414
2022-08-21,20,3,16.22803,13.597094
2022-08-21,21,3,15.770132,13.309355
2022-08-21,22,3,15.83706,13.278229
2022-08-21,23,3,16.011538,13.388515
2022-08-21,24,3,16.086998,13.402828
2022-08-21,25,3,16.041258,13.444495
2022-08-21,26,3,16.112558,13.303198
2022-08-21,27,3,15.706327,13.277981
2022-08-21,28,3,16.352297,13.543103
2022-08-21,29,3,15.953618,13.408495
2022-08-21,30,3,16.067865,13.461036
2022-08-21,0,4,15.55611,12.747302
2022-08-21,1,4,15.785008,13.083254
2022-08-21,2,4,15.701428,13.032747
2022-08-21,3,4,16.065464,13.18989
2022-08-21,4,4,15.459273,12.80738
2022-08-21,5,4,15.67105,12.96086
2022-08-21,6,4,15.248707,12.67287
2022-08-21,7,4,15.592769,12.929578
2022-08-21,8,4,15.597709,12.986014
2022-08-21,9,4,15.583741,12.681002
2022-08-21,10,4,15.681682,12.645826
2022-08-21,11,4,15.680118,12.933855
2022-08-21,12,4,15.793374,12.816368
2022-08-21,13,4,15.68161,12.900554
2022-08-21,14,4,15.399223,12.760179
2022-08-21,15,4,15.360275,12.996719
2022-08-21,16,4,15.703501,12.914191
2022-08-21,17,4,15.325966,12.872947
2022-08-21,18,4,15.683202,12.894421
2022-08-21,19,4,15.700654,13.131359
2022-08-21,20,4,16.057444,13.24187
2022-08-21,21,4,15.586093,13.013477
2022-08-21,22,4,15.498178,12.830199
2022-08-21,23,4,15.749672,12.979935
2022-08-21,24,4,15.751351,12.908561
2022-08-21,25,4,15.852283,13.091001
2022-08-21,26,4,15.611954,12.628902
2022-08-21,27,4,15.5049925,12.970665
2022-08-21,28,4,16.063946,13.029916
2022-08-21,29,4,15.767377,13.084407
2022-08-21,30,4,15.716388,12.999898
2022-08-21,0,5,16.315943,13.110153
2022-08-21,1,5,16.356306,13.4284525
2022-08-21,2,5,16.283533,13.403434
2022-08-21,3,5,16.525145,13.388863
2022-08-21,4,5,16.19644,13.254308
2022-08-21,5,5,16.352945,13.342372
2022-08-21,6,5,16.068398,13.195329
2022-08-21,7,5,16.264874,13.314466
2022-08-21,8,5,16.253376,13.416979
2022-08-21,9,5,16.506886,13.088777
2022-08-21,10,5,16.560078,13.090187
2022-08-21,11,5,16.36466,13.283163
2022-08-21,12,5,16.555809,13.132687
2022-08-21,13,5,16.351336,13.246062
2022-08-21,14,5,16.222727,13.246303
2022-08-21,15,5,15.980177,13.550038
2022-08-21,16,5,16.352957,13.22958
